Time [s], Analyzer Name, Decoded Protocol Result
1.929243333333333,Async Serial,A
1.929503333333333,Async Serial,T
1.929528583333333,Async Serial,A
1.929763375000000,Async Serial,I
1.929814625000000,Async Serial,T
1.930023375000000,Async Serial,\r
1.930074666666667,Async Serial,I
1.930334708333333,Async Serial,\r
1.933767083333333,Async Serial,E
1.934027125000000,Async Serial,L
1.934287125000000,Async Serial,M
1.934547166666667,Async Serial,3
1.934807208333333,Async Serial,2
1.935067208333333,Async Serial,7
1.935327250000000,Async Serial,' '
1.935587291666667,Async Serial,v
1.935847333333333,Async Serial,1
1.936107333333333,Async Serial,.
1.936367375000000,Async Serial,5
1.936627416666667,Async Serial,\r
1.936887416666667,Async Serial,\r
1.937147458333333,Async Serial,>
1.940111666666667,Async Serial,A
1.940371666666667,Async Serial,T
1.940423833333333,Async Serial,A
1.940631666666667,Async Serial,I
1.940683875000000,Async Serial,T
1.940891666666667,Async Serial,\r
1.940943916666667,Async Serial,I
1.941203916666667,Async Serial,\r
1.944636333333333,Async Serial,E
1.944896333333333,Async Serial,L
1.945156375000000,Async Serial,M
1.945416416666667,Async Serial,3
1.945676458333333,Async Serial,2
1.945936458333333,Async Serial,7
1.946196500000000,Async Serial,' '
1.946456541666667,Async Serial,v
1.946716541666667,Async Serial,1
1.946976583333333,Async Serial,.
1.947236625000000,Async Serial,5
1.947496666666667,Async Serial,\r
1.947756666666667,Async Serial,\r
1.948016708333333,Async Serial,>
1.951162000000000,Async Serial,A
1.951422000000000,Async Serial,T
1.951449083333333,Async Serial,A
1.951682000000000,Async Serial,W
1.951735125000000,Async Serial,T
1.951942000000000,Async Serial,S
1.951995166666667,Async Serial,W
1.952202000000000,Async Serial,\r
1.952255208333333,Async Serial,S
1.952515208333333,Async Serial,\r
1.956439166666667,Async Serial,\r
1.956699208333333,Async Serial,\r
1.956959208333333,Async Serial,E
1.957219250000000,Async Serial,L
1.957479291666667,Async Serial,M
1.957739333333333,Async Serial,3
1.957999333333333,Async Serial,2
1.958259375000000,Async Serial,7
1.958519416666667,Async Serial,' '
1.965176375000000,Async Serial,S
1.965436416666667,Async Serial,T
1.965696416666667,Async Serial,I
1.965956416666667,Async Serial,\r
1.973262625000000,Async Serial,S
1.973522625000000,Async Serial,T
1.973782666666667,Async Serial,I
1.974042666666667,Async Serial,\r
2.004125541666667,Async Serial,A
2.004385541666667,Async Serial,T
2.004645541666667,Async Serial,P
2.004905541666667,Async Serial,P
2.005165583333334,Async Serial,S
2.005425583333333,Async Serial,\r
2.123157041666667,Async Serial,A
2.123417041666666,Async Serial,T
2.123677041666667,Async Serial,E
2.123937041666667,Async Serial,0
2.124197041666667,Async Serial,\r
2.131139250000000,Async Serial,A
2.131399250000000,Async Serial,T
2.131659291666667,Async Serial,L
2.131919291666667,Async Serial,0
2.132179291666667,Async Serial,\r
2.140239541666667,Async Serial,A
2.140499541666667,Async Serial,T
2.140759541666667,Async Serial,H
